Date,HomeTeam,AwayTeam,FTHG,FTAG,HA_Scored,Total_Goals,Note
18/09/10,Kaiserslautern,Hoffenheim,2,2,1,4,0.18333333333333335
18/09/10,Stuttgart,M'gladbach,7,0,0,7,0.41666666666666663
18/09/10,Werder Bremen,Mainz,0,2,0,2,0.35
18/09/10,Wolfsburg,Hannover,2,0,0,2,0.4666666666666667
19/09/10,Leverkusen,Nurnberg,0,0,0,0,0.4666666666666667
19/09/10,Schalke 04,Dortmund,1,3,1,4,0.35
19/09/10,St Pauli,Hamburg,1,1,1,2,0.2875
21/09/10,Hannover,Werder Bremen,4,1,1,5,0.3375
21/09/10,Hoffenheim,Bayern Munich,1,2,1,3,0.23333333333333334
21/09/10,Mainz,FC Koln,2,0,0,2,0.24583333333333335
22/09/10,Dortmund,Kaiserslautern,5,0,0,5,0.24583333333333332
22/09/10,Freiburg,Schalke 04,1,2,1,3,0.3375
22/09/10,Hamburg,Wolfsburg,1,3,1,4,0.3125
22/09/10,Leverkusen,Ein Frankfurt,2,1,1,3,0.20833333333333334
22/09/10,M'gladbach,St Pauli,1,2,1,3,0.15833333333333333
22/09/10,Nurnberg,Stuttgart,2,1,1,3,0.4
24/09/10,FC Koln,Hoffenheim,1,1,1,2,0.27083333333333337
25/09/10,Bayern Munich,Mainz,1,2,1,3,0.14166666666666666
25/09/10,Ein Frankfurt,Nurnberg,2,0,0,2,0.20833333333333334
25/09/10,Schalke 04,M'gladbach,2,2,1,4,0.3125
25/09/10,St Pauli,Dortmund,1,3,1,4,0.375
25/09/10,Stuttgart,Leverkusen,1,4,1,5,0.22083333333333333
25/09/10,Werder Bremen,Hamburg,3,2,1,5,0.2875
26/09/10,Kaiserslautern,Hannover,0,1,0,1,0.27083333333333337
26/09/10,Wolfsburg,Freiburg,2,1,1,3,0.18333333333333335
01/10/10,Hannover,St Pauli,0,1,0,1,0.42500000000000004
02/10/10,Freiburg,FC Koln,3,2,1,5,0.24583333333333332
02/10/10,Hamburg,Kaiserslautern,2,1,1,3,0.36250000000000004
02/10/10,Mainz,Hoffenheim,4,2,1,6,0.3125
02/10/10,M'gladbach,Wolfsburg,1,1,1,2,0.33333333333333337
02/10/10,Nurnberg,Schalke 04,2,1,1,3,0.4
03/10/10,Dortmund,Bayern Munich,2,0,0,2,0.20416666666666666
03/10/10,Leverkusen,Werder Bremen,2,2,1,4,0.35833333333333334
03/10/10,Stuttgart,Ein Frankfurt,1,2,1,3,0.35833333333333334
15/10/10,FC Koln,Dortmund,1,2,1,3,0.4
16/10/10,Bayern Munich,Hannover,3,0,0,3,0.20416666666666666
16/10/10,Mainz,Hamburg,0,1,0,1,0.4
16/10/10,Schalke 04,Stuttgart,2,2,1,4,0.4666666666666667
16/10/10,St Pauli,Nurnberg,3,2,1,5,0.2708333333333333
16/10/10,Werder Bremen,Freiburg,2,1,1,3,0.30833333333333335
16/10/10,Wolfsburg,Leverkusen,2,3,1,5,0.375
17/10/10,Hoffenheim,M'gladbach,3,2,1,5,0.35833333333333334
17/10/10,Kaiserslautern,Ein Frankfurt,0,3,0,3,0.3125
22/10/10,Hamburg,Bayern Munich,0,0,0,0,0.3375
23/10/10,Ein Frankfurt,Schalke 04,0,0,0,0,0.24583333333333332
23/10/10,Freiburg,Kaiserslautern,2,1,1,3,0.42500000000000004
23/10/10,Hannover,FC Koln,2,1,1,3,0.27083333333333337
23/10/10,M'gladbach,Werder Bremen,1,4,1,5,0.44166666666666665
23/10/10,Nurnberg,Wolfsburg,2,1,1,3,0.4666666666666667
24/10/10,Dortmund,Hoffenheim,1,1,1,2,0.22083333333333333
